Customer ID,Age,Gender,Category,Purchase Amount (USD),Previous Purchases,Frequency of Purchases,Subscription Status,Review Rating,Cluster,Segment
1,55,Male,Clothing,53,14,Fortnightly,Yes,3.1,1,💎 Champions (High-Value Loyalists)
2,19,Male,Clothing,64,2,Fortnightly,Yes,3.1,1,💎 Champions (High-Value Loyalists)
3,50,Male,Clothing,73,23,Weekly,Yes,3.1,1,💎 Champions (High-Value Loyalists)
4,21,Male,Footwear,90,49,Weekly,Yes,3.5,1,💎 Champions (High-Value Loyalists)
5,45,Male,Clothing,49,31,Annually,Yes,2.7,1,💎 Champions (High-Value Loyalists)
6,46,Male,Footwear,20,14,Weekly,Yes,2.9,1,💎 Champions (High-Value Loyalists)
7,63,Male,Clothing,85,49,Quarterly,Yes,3.2,1,💎 Champions (High-Value Loyalists)
8,27,Male,Clothing,34,19,Weekly,Yes,3.2,1,💎 Champions (High-Value Loyalists)
9,26,Male,Outerwear,97,8,Annually,Yes,2.6,1,💎 Champions (High-Value Loyalists)
10,57,Male,Accessories,31,4,Quarterly,Yes,4.8,1,💎 Champions (High-Value Loyalists)
11,53,Male,Footwear,34,26,Bi-Weekly,Yes,4.1,1,💎 Champions (High-Value Loyalists)
12,30,Male,Clothing,68,10,Fortnightly,Yes,4.9,1,💎 Champions (High-Value Loyalists)
13,61,Male,Outerwear,72,37,Fortnightly,Yes,4.5,1,💎 Champions (High-Value Loyalists)
14,65,Male,Clothing,51,31,Weekly,Yes,4.7,1,💎 Champions (High-Value Loyalists)
15,64,Male,Outerwear,53,34,Weekly,Yes,4.7,1,💎 Champions (High-Value Loyalists)
16,64,Male,Clothing,81,8,Monthly,Yes,2.8,1,💎 Champions (High-Value Loyalists)
17,25,Male,Accessories,36,44,Bi-Weekly,Yes,4.1,1,💎 Champions (High-Value Loyalists)
18,53,Male,Clothing,38,36,Quarterly,Yes,4.7,1,💎 Champions (High-Value Loyalists)
19,52,Male,Clothing,48,17,Weekly,Yes,4.6,1,💎 Champions (High-Value Loyalists)
20,66,Male,Clothing,90,46,Bi-Weekly,Yes,3.3,1,💎 Champions (High-Value Loyalists)
21,21,Male,Clothing,51,50,Every 3 Months,Yes,2.8,1,💎 Champions (High-Value Loyalists)
22,31,Male,Clothing,62,22,Quarterly,Yes,4.1,1,💎 Champions (High-Value Loyalists)
23,56,Male,Clothing,37,32,Annually,Yes,3.2,1,💎 Champions (High-Value Loyalists)
24,31,Male,Clothing,88,40,Weekly,Yes,4.4,1,💎 Champions (High-Value Loyalists)
25,18,Male,Outerwear,22,16,Weekly,Yes,2.9,1,💎 Champions (High-Value Loyalists)
26,18,Male,Clothing,25,14,Annually,Yes,3.6,1,💎 Champions (High-Value Loyalists)
27,38,Male,Accessories,20,13,Annually,Yes,3.6,1,💎 Champions (High-Value Loyalists)
28,56,Male,Clothing,56,7,Every 3 Months,Yes,5.0,1,💎 Champions (High-Value Loyalists)
29,54,Male,Accessories,94,41,Every 3 Months,Yes,4.4,1,💎 Champions (High-Value Loyalists)
30,31,Male,Clothing,48,14,Weekly,Yes,4.1,1,💎 Champions (High-Value Loyalists)
31,57,Male,Accessories,31,16,Monthly,Yes,4.7,1,💎 Champions (High-Value Loyalists)
32,33,Male,Clothing,79,45,Monthly,Yes,4.7,1,💎 Champions (High-Value Loyalists)
33,36,Male,Outerwear,67,37,Annually,Yes,4.9,1,💎 Champions (High-Value Loyalists)
34,54,Male,Clothing,38,45,Quarterly,Yes,3.3,1,💎 Champions (High-Value Loyalists)
35,36,Male,Clothing,91,38,Quarterly,Yes,4.6,1,💎 Champions (High-Value Loyalists)
36,54,Male,Clothing,33,48,Bi-Weekly,Yes,4.0,1,💎 Champions (High-Value Loyalists)
37,35,Male,Clothing,69,44,Fortnightly,Yes,4.6,1,💎 Champions (High-Value Loyalists)
38,35,Male,Clothing,45,10,Weekly,Yes,2.8,1,💎 Champions (High-Value Loyalists)
39,29,Male,Clothing,37,44,Every 3 Months,Yes,3.7,1,💎 Champions (High-Value Loyalists)
40,70,Male,Clothing,60,18,Monthly,Yes,4.2,1,💎 Champions (High-Value Loyalists)
41,69,Male,Accessories,76,31,Quarterly,Yes,4.6,1,💎 Champions (High-Value Loyalists)
42,67,Male,Accessories,39,40,Annually,Yes,4.5,1,💎 Champions (High-Value Loyalists)
43,20,Male,Outerwear,100,15,Annually,Yes,4.1,1,💎 Champions (High-Value Loyalists)
44,25,Male,Accessories,69,19,Fortnightly,Yes,3.7,1,💎 Champions (High-Value Loyalists)
45,39,Male,Accessories,53,45,Weekly,Yes,4.6,1,💎 Champions (High-Value Loyalists)
46,50,Male,Clothing,21,25,Annually,Yes,2.9,1,💎 Champions (High-Value Loyalists)
47,57,Male,Clothing,43,45,Quarterly,Yes,2.9,1,💎 Champions (High-Value Loyalists)
48,55,Male,Accessories,54,36,Weekly,Yes,4.5,1,💎 Champions (High-Value Loyalists)
49,42,Male,Clothing,55,38,Monthly,Yes,2.7,1,💎 Champions (High-Value Loyalists)
50,68,Male,Clothing,30,34,Bi-Weekly,Yes,4.6,1,💎 Champions (High-Value Loyalists)
51,49,Male,Clothing,28,39,Bi-Weekly,Yes,3.7,1,💎 Champions (High-Value Loyalists)
52,59,Male,Clothing,59,7,Quarterly,Yes,4.7,1,💎 Champions (High-Value Loyalists)
53,42,Male,Clothing,20,26,Weekly,Yes,2.6,1,💎 Champions (High-Value Loyalists)
54,29,Male,Clothing,24,35,Weekly,Yes,3.9,1,💎 Champions (High-Value Loyalists)
55,47,Male,Outerwear,94,35,Bi-Weekly,Yes,4.2,1,💎 Champions (High-Value Loyalists)
56,40,Male,Outerwear,28,49,Annually,Yes,3.0,1,💎 Champions (High-Value Loyalists)
57,41,Male,Accessories,73,46,Weekly,Yes,4.7,1,💎 Champions (High-Value Loyalists)
58,21,Male,Outerwear,64,17,Fortnightly,Yes,4.4,1,💎 Champions (High-Value Loyalists)
59,69,Male,Clothing,54,29,Monthly,Yes,4.2,1,💎 Champions (High-Value Loyalists)
60,63,Male,Accessories,79,4,Weekly,Yes,4.6,1,💎 Champions (High-Value Loyalists)
61,50,Male,Clothing,37,17,Weekly,Yes,4.0,1,💎 Champions (High-Value Loyalists)
62,55,Male,Accessories,68,21,Every 3 Months,Yes,4.7,1,💎 Champions (High-Value Loyalists)
63,30,Male,Footwear,21,31,Fortnightly,Yes,3.8,1,💎 Champions (High-Value Loyalists)
64,33,Male,Accessories,79,43,Weekly,Yes,2.7,1,💎 Champions (High-Value Loyalists)
65,65,Male,Footwear,83,18,Fortnightly,Yes,4.8,1,💎 Champions (High-Value Loyalists)
